"id_docente";"nome";"titulo";"ano_inicio";"ano_fim";"situacao";"natureza";"qtd_graduacao";"qtd_especializacao";"qtd_mestrado";"qtd_doutorado";"integrantes";"financiador";"responsavel"
39;André Castelo Branco Soares;Compartilhamento de Informações de Smartphones via Agentes Móveis;2011;"";EM_ANDAMENTO;DESENVOLVIMENTO;"2";"";"";"";"André Castelo Branco Soares;  Vinícius Machado;  Laurindo Neto;  Kelson Rômulo Teixeira Aires;  ";;Não
39;André Castelo Branco Soares;Detecção Automática da Utilização de Capacete por Motociclistas;2011;"";EM_ANDAMENTO;DESENVOLVIMENTO;"2";"";"1";"";"André Castelo Branco Soares;  Kelson Rômulo Teixeira Aires;  Rodrigo de Melo Souza Veras;  ";Universidade Federal do Piauí;Sim
39;André Castelo Branco Soares;Técnicas de Sobrevivência em Redes de Circuitos Ópticos Translúcidos;2011;"2013";CONCLUIDO;PESQUISA;"1";"";"1";"1";"André Castelo Branco Soares;  William  Ferreira Giozza;  José Carneiro Maranhão Neto;  Karcius Day Rossário Assis;  Gilvan Martins Durães;  Igo Coutinho Moura;  Danielo Golçalves Gomes,;  Alexandre Cardoso Fontinele;  Guilherme Enéas Vaz Silva;  ";Conselho Nacional de Desenvolvimento Científico e Tecnológico;Sim
39;André Castelo Branco Soares;Redes de Comunicação Veicular;2010;"2012";EM_ANDAMENTO;PESQUISA;"1";"";"";"";"André Castelo Branco Soares;  Érico Medeses Leão;  ";Universidade Federal do Piauí;Sim
39;André Castelo Branco Soares;Implementação de um Módulo na Ferramenta TONetS para Simulação de Redes Ópticas Híbridas com Comutação de circuito e rajadas;2010;"2012";EM_ANDAMENTO;PESQUISA;"3";"";"";"";"André Castelo Branco Soares;  ";Conselho Nacional de Desenvolvimento Científico e Tecnológico;Sim
39;André Castelo Branco Soares;Uma Metodologia para Planejamento de Rede Óptica Transparente com Comutação de Circuitos e Rajadas com Garantia de Qualidade de Serviço no Nível do Usuário;2010;"2012";EM_ANDAMENTO;PESQUISA;"1";"";"1";"";"André Castelo Branco Soares;  William  Ferreira Giozza;  Paulo Roberto Freire Cunha;  Pedro de Alcântara dos Santos Neto;  ";Fundação de Amparo à Pesquisa do Estado do Piauí;Sim
39;André Castelo Branco Soares;Metodologia de dimensionamento de redes ópticas transparentes sob tráfego dinâmico com garantia de SLA;2008;"2009";CONCLUIDO;PESQUISA;"";"";"1";"1";"André Castelo Branco Soares;  William  Ferreira Giozza;  José Carneiro Maranhão Neto;  Karcius Day Rossário Assis;  Gilvan Martins Durães;  José Roberto de Almeida Amazonas;  ";Fundação de Amparo à Pesquisa do Estado da Bahia;Não
39;André Castelo Branco Soares;Ambiente integrado para avaliação de desempenho de redes ópticas transparentes;2006;"2008";CONCLUIDO;PESQUISA;"1";"";"";"1";"André Castelo Branco Soares;  William  Ferreira Giozza;  Gilvan Martins Durães;  ";Fundação de Amparo à Pesquisa do Estado da Bahia;Não
39;André Castelo Branco Soares;PLANOTIM;2005;"2007";EM_ANDAMENTO;PESQUISA;"3";"";"";"1";"André Castelo Branco Soares;  Karcius Day Rosário Assis;  José Roberto de Almeida Amazonas;  ";Fundação de Amparo à Pesquisa do Estado da Bahia;Sim
39;André Castelo Branco Soares;Desenvolvimento de ferramentas de simulação de redes ópticas transparentes com topologias genéricas;2004;"2006";CONCLUIDO;DESENVOLVIMENTO;"3";"";"";"1";"André Castelo Branco Soares;  William  Ferreira Giozza;  Tami Maia Santiago;  José Carneiro Maranhão Neto;  ";Fundação de Amparo à Pesquisa do Estado da Bahia;Não
39;André Castelo Branco Soares;Arquitetura e Protocolos de Redes Ópticas;2003;"2007";EM_ANDAMENTO;PESQUISA;"2";"0";"0";"0";"André Castelo Branco Soares;  William  Ferreira Giozza;  José Carneiro Maranhão Neto;  Karcius Day Rosário Assis;  Gilvan Martins Durães;  ";Fundação de Amparo à Pesquisa do Estado da Bahia;Não
39;André Castelo Branco Soares;Avaliação de Desempenho de algoritmos RWA em redes ópticas transparentes.;2002;"2004";CONCLUIDO;PESQUISA;"1";"";"";"";"André Castelo Branco Soares;  William  Ferreira Giozza;  José Carneiro Maranhão Neto;  ";Fundação de Amparo à Pesquisa do Estado da Bahia;Não
39;André Castelo Branco Soares;Engenharia de Tráfego e Redes Ópticas;2002;"2004";CONCLUIDO;DESENVOLVIMENTO;"3";"0";"0";"0";"André Castelo Branco Soares;  William  Ferreira Giozza;  José Augusto Suruagy Monteiro;  Euclério Ornellas;  Tami Maia Santiago;  Diego Macedo Sousa;  Antonio Carlos Cabral Vilar;  ";Universidade de São Paulo;Não
50;Andre Macedo Santana;C2SLAM: Um time de Cellbots capazes de realizar tarefas cooperativas de SLAM;2013;"";EM_ANDAMENTO;PESQUISA;"4";"0";"3";"0";"Andre Macedo Santana;  Anderson A. S. Souza;  Ivan Saraiva Silva;  RICARDO DE ANDRADE LIRA RABELO;  ROSIERY DA SILVA MAIA;  ";Conselho Nacional de Desenvolvimento Científico e Tecnológico;Sim
50;Andre Macedo Santana;NCAD - Núcleo de Computação de Alto desempenho da Universidade Federal do Piauí;2012;"2016";CONCLUIDO;OUTRA;"";"";"";"";"Andre Macedo Santana;  Kelson Romulo Teixeira Aires;  Pedro Alcântara Santos Neto;  André Castelo Branco Soares;  Ivan Saraiva Silva;  ";;Não
50;Andre Macedo Santana;Integração de Diversos Paradigmas de Localização e Mapeamento Simultâneos (SLAM);2011;"";EM_ANDAMENTO;PESQUISA;"5";"";"";"";"Andre Macedo Santana;  Kelson Romulo Teixeira Aires;  ";;Sim
50;Andre Macedo Santana;Equipe CUIA: A inserção do Piauí no cenário das competições de futebol de robôs;2010;"2012";EM_ANDAMENTO;PESQUISA;"2";"";"";"";"Andre Macedo Santana;  Kelson Romulo Teixeira Aires;  ";"";Não
26;Anselmo Cardoso de Paiva;Inteligência Computacional no Apoio às Ações de Controle Externo - ICCE;2022;"";EM_ANDAMENTO;PESQUISA;"8";"";"4";"4";"Anselmo Cardoso de Paiva;  Geraldo Braz Júnior;  Darlan Bruno Pontes Quintanilha;  João Dallyson Sousa Almeida;  Simara Veira da Rocha;  Aristófanes Correa Silva;  ";Tribunal de Contas do Estado do Maranhão;Sim
26;Anselmo Cardoso de Paiva;Definição adaptativa de parâmetros para a crítica da medição do consumo de energia elétrica usando Deep Learning e Survival Analysis;2019;"2020";CONCLUIDO;PESQUISA;"";"";"";"";"Anselmo Cardoso de Paiva;  Stelmo Magalhães Barros Neto;  Geraldo Braz Júnior;  João Dallyson Sousa Almeida;  Simara Veira da Rocha;  Aristofanes Correa Silva;  ";;Não
26;Anselmo Cardoso de Paiva;Inteligência Computacional Aplicada ao Setor de Energia e de Atençao à Saúde Humana - ICAES;2019;"";EM_ANDAMENTO;PESQUISA;"2";"";"2";"2";"Anselmo Cardoso de Paiva;  Geraldo Braz Júnior;  João Dallyson Sousa Almeida;  Vandecia Rejane M. Fernandes;  Simara Veira da Rocha;  Aristofanes Correa Silva;  ";;Sim
26;Anselmo Cardoso de Paiva;VISUALIZAÇÃO E PROCESSAMENTO DE IMAGENS MÉDICAS PARA SUPORTE À DETECÇÃO E DIAGNÓSTICO DE PATOLOGIAS: CÂNCER DE PULMÃO E GLAUCOMA;2018;"2022";CONCLUIDO;PESQUISA;"2";"";"2";"3";"Anselmo Cardoso de Paiva;  Thamila Fontenele de Brito Silva;  Heber de Padua Sousa;  Vandecia Rejane M. Fernandes;  Aristofanes Correa Silva;  Luana Batista da Cruz.;  ";(FAPEMA) Fundação de Amparo à Pesquisa ao Desenvolvimento Científico e Tecn;Sim
26;Anselmo Cardoso de Paiva;Detecção e Diagnóstico de Doenças Oftalmológicas e de Pulmão Baseada em Imagens;2018;"2022";CONCLUIDO;PESQUISA;"2";"";"2";"2";"Anselmo Cardoso de Paiva;  Geraldo Braz Júnior;  Simara Vieira da Rocha;  João Dallyson Sousa Almeida;  RODRIGO DE MELO SOUZA VERAS;  Aristofanes Correa Silva;  AIRES, KELSON;  ";(CNPq) Conselho Nacional de Desenvolvimento Científico e Tecnológico;Sim
26;Anselmo Cardoso de Paiva;IMAGENS BIOMÉDICAS: PROCESSAMENTO, ANÁLISE, E VISUALIZAÇÃO;2018;"2022";CONCLUIDO;PESQUISA;"5";"";"6";"6";"Anselmo Cardoso de Paiva;  Aristofanes Correa Silva;  ";(FAPEMA) Fundação de Amparo à Pesquisa ao Desenvolvimento Científico e Tecn;Sim
26;Anselmo Cardoso de Paiva;Construção Auto Organizável de Agrupamentos de Leitura sujeito a Restrições através de Métodos de Inteligência Computacional e Sistemas de Informação Geográfica;2017;"2020";CONCLUIDO;PESQUISA;"6";"";"2";"";"Anselmo Cardoso de Paiva;  Geraldo Braz Júnior;  João Dallyson Sousa Almeida;  Cláudio de Souza Baptista;  Aristofanes Correa Silva;  Daniel Lima Gomes;  ";Centrais Elétricas do Pará;Sim
26;Anselmo Cardoso de Paiva;"Medic&#807;a&#771;o e validac&#807;a&#771;o do consumo de energia usando dispositivos mo&#769;veis, te&#769;cnicas de processamento de imagens e intelige&#770;ncia computacional";2016;"2020";CONCLUIDO;PESQUISA;"4";"";"3";"2";"Anselmo Cardoso de Paiva;  Geraldo Braz Júnior;  João Dallyson Sousa Almeida;  Simara Veira da Rocha;  Aristofanes Correa Silva;  ";Centrais Elétricas do Pará;Não
26;Anselmo Cardoso de Paiva;VISUALIZAÇÃO IMERSIVA DE SIMULAÇÕES DE PARTO;2016;"2017";CONCLUIDO;PESQUISA;"3";"";"";"";"Anselmo Cardoso de Paiva;  Renato Natal Jorge;  ";(FAPEMA) Fundação de Amparo à Pesquisa ao Desenvolvimento Científico e Tecn;Sim
26;Anselmo Cardoso de Paiva;Detecção e Diagnóstico de Patologias Baseado em Exames de Imagens: Câncer de Mama e de Pulmão;2015;"2017";CONCLUIDO;PESQUISA;"6";"";"4";"2";"Anselmo Cardoso de Paiva;  Geraldo Braz Júnior;  Simara Vieira da Rocha;  João Dallyson Sousa Almeida;  Aristofanes Correa Silva;  ";(FAPEMA) Fundação de Amparo à Pesquisa ao Desenvolvimento Científico e Tecn;Sim
26;Anselmo Cardoso de Paiva;Desenvolvimento de Software para Análise Ergonômica do Trabalho com o uso de Câmeras de Profundidade;2014;"2016";CONCLUIDO;EXTENSAO;"2";"";"";"";"Anselmo Cardoso de Paiva;  Geraldo Braz Júnior;  Ivana Marcia Oliveira Maia;  Simara Veira da Rocha;  Inaldo Azevedo Maia Filho;  ";;Sim
26;Anselmo Cardoso de Paiva;Desenvolvimento de jogos sérios para o ensino interativo de conceitos matemáticos;2014;"2014";CONCLUIDO;PESQUISA;"2";"";"";"";"Anselmo Cardoso de Paiva;  Geraldo Braz Júnior;  ";;Sim
26;Anselmo Cardoso de Paiva;AMBIENTE VIRTUAL COM INTERAÇÃO BASEADA EM GESTOS PARA TREINAMENTO DE OPERADORES;2014;"2017";CONCLUIDO;PESQUISA;"5";"";"3";"1";"Anselmo Cardoso de Paiva;  Geraldo Braz Júnior;  Daniel Lima Gomes Júnior;  TIAGO RAMOS RIBEIRO;  Aristófanes Corrêa Silva;  Paulo Roberto Jansen dos reis;  ";(FAPEMA) Fundação de Amparo à Pesquisa ao Desenvolvimento Científico e Tecn;Sim
26;Anselmo Cardoso de Paiva;Ambiente Gráfico Interativo para Treinamento Cooperativo de Operadores - AGITO;2013;"2016";CONCLUIDO;PESQUISA;"6";"";"2";"1";"Anselmo Cardoso de Paiva;  Geraldo Braz Júnior;  TIAGO RAMOS RIBEIRO;  Ivana Marcia Oliveira Maia;  Inaldo Azevedo Maia Filho;  Paulo Reis Jansen;  Antonio Sergio de Araujo;  MATOS, CAIO EDUARDO FALCAO;  DINIZ, PETTERSON SOUSA;  Aristofanes Correa Silva;  ";Companhia Hidro Elétrica do São Francisco;Sim
26;Anselmo Cardoso de Paiva;Detecção e Diagnóstico de Câncer de Mama e Pulmão Usando Análise de Diversidade e Análise Geométrica;2013;"2016";CONCLUIDO;PESQUISA;"3";"";"4";"2";"Anselmo Cardoso de Paiva;  Aristófanes Corrêa Silva;  Geraldo Braz Júnior;  Simara Veira da Rocha;  ";(CNPq) Conselho Nacional de Desenvolvimento Científico e Tecnológico;Sim
26;Anselmo Cardoso de Paiva;SISTEMA DE INFORMAÇÕES BASEADO EM GEOPROCESSAMENTO E MINERAÇÃO DE DADOS PARA DETECÇÃO DE QUEIMADAS PRÓXIMAS A LINHAS DE TRANSMISSÃO E IDENTIFICAÇÃO EM TEMPO REAL DE RAIOS EM DESARMES DE LINHAS;2012;"2015";CONCLUIDO;PESQUISA;"2";"";"1";"";"Anselmo Cardoso de Paiva;  Damião Ribeiro de Almeida,;  Cláudio de Souza Baptista;  Vinicius Araujo Porto;  Tiago Eduardo da Silva;  ";;Não
26;Anselmo Cardoso de Paiva;DETECÇÃO E DIAGNÓSTICO PRECOCE DE CÂNCER DE MAMA BASEADO EM ANÁLISE IMAGENS MÉDICAS MULTIMODAIS;2012;"2014";CONCLUIDO;PESQUISA;"2";"";"4";"1";"Anselmo Cardoso de Paiva;  Aristófanes Corrêa Silva;  ";(FAPEMA) Fundação de Amparo à Pesquisa ao Desenvolvimento Científico e Tecn;Não
26;Anselmo Cardoso de Paiva;Detecção e Diagnóstico de Cancer de Mama e Pulmão;2012;"2014";CONCLUIDO;PESQUISA;"4";"";"2";"2";"Anselmo Cardoso de Paiva;  Aristófanes Corrêa Silva;  Geraldo Braz Júnior;  Simara Vieira da Rocha;  Leonardo Silva Kury Aragão Mendes;  Héber P. Sousa;  ";(FAPEMA) Fundação de Amparo à Pesquisa ao Desenvolvimento Científico e Tecn;Sim
26;Anselmo Cardoso de Paiva;Visualização, detecção e diagnóstico precoce de câncer de mama baseado em análise de imagens médicas multimodais;2012;"2014";EM_ANDAMENTO;PESQUISA;"5";"";"3";"3";"Anselmo Cardoso de Paiva;  Rita de Cássia Freire Silva;  Aristófanes Corrêa Silva;  alcione miranda dos santos;  Aura Conci;  ";Fundação de Amparo à Pesquisa ao Desenvolv. Científico e Tecnológico - MA;Não
26;Anselmo Cardoso de Paiva;Sistema de Gestão Ambiental com Suporte a Dados Geoespaciais, Multimídia e Dispositivos Móveis;2012;"2015";CONCLUIDO;PESQUISA;"";"";"";"";"Anselmo Cardoso de Paiva;  Hugo Feitosa de Figueiredo;  Ana Gabrielle Ramos Falcão;  Cláudio de Souza Baptista;  Daniel Farias Batista leite;  Julio henrique Rocha;  jaindson valentim santana;  artur sena;  ";;Não
26;Anselmo Cardoso de Paiva;Visualização e Processamento de Imagens Médicas da Mama e Pulmão;2011;"2015";CONCLUIDO;PESQUISA;"5";"";"2";"2";"Anselmo Cardoso de Paiva;  Geraldo Braz Júnior;  Aristófanes Corrêa Silva;  Simara Veira da Rocha;  ";(CNPq) Conselho Nacional de Desenvolvimento Científico e Tecnológico;Sim
26;Anselmo Cardoso de Paiva;Um Ambiente para Armazenamento, Recuperação, Interpretação e Análise de Grandes Volumes de Dados MultimÍdia;2011;"2014";CONCLUIDO;PESQUISA;"4";"";"4";"";"Anselmo Cardoso de Paiva;  Cláudio de Souza Baptista;  Aristófanes Corrêa Silva;  Paulo Cézar Carvalho Pinto;  Geraldo Braz Júnior;  Ulrich Schiel;  Simara Vieira da Rocha;  Hugo Feitosa de Figueiredo;  Asla Medeiros e Sá;  Figueirêdo, Hugo Feitosa;  ";Conselho Nacional de Desenvolvimento Científico e Tecnológico;Sim
26;Anselmo Cardoso de Paiva;Imagens Médicas: Processamento, Análise e Visualização para Detecção e Diagnóstico de Câncer de Mama e Pulmão;2010;"2013";EM_ANDAMENTO;PESQUISA;"4";"";"2";"";"Anselmo Cardoso de Paiva;  Aristófanes Corrêa Silva;  Rodolfo Acatauassú Nunes;  Geraldo Braz Júnior;  Simara Vieira da Rocha;  Aura Conci;  ";Fundação de Amparo à Pesquisa ao Desenvolv. Científico e Tecnológico - MA;Sim
26;Anselmo Cardoso de Paiva;Processamento de Imagens de Mamografias para Detecção e Diagnóstico de Massas na Mama;2009;"2011";EM_ANDAMENTO;PESQUISA;"2";"";"2";"1";"Anselmo Cardoso de Paiva;  Geraldo Braz Júnior;  Simara Vieira da Rocha;  ";Fundação de Amparo à Pesquisa ao Desenvolv. Científico e Tecnológico - MA;Sim
26;Anselmo Cardoso de Paiva;Uma Nova Infra-Estrutura para Centros de Controle Integrando Sistemas SCADA/EMS, Tratamento de Alarmes, Qualimetria, Oscilografia e Base GIS;2008;"2010";CONCLUIDO;PESQUISA;"3";"";"2";"";"Anselmo Cardoso de Paiva;  Fábio Luiz Leite Jr.;  Cláudio de Souza Baptista;  Damião Ribeiro de Almeida,;  ";Universidade Federal de Campina Grande;Não
26;Anselmo Cardoso de Paiva;Implantação da Rede Temática em Computação Científica e Visualização na UFMA ? Núcleo UFMA da Rede Galileu.;2008;"2014";CONCLUIDO;DESENVOLVIMENTO;"2";"";"";"";"Anselmo Cardoso de Paiva;  Aristófanes Corrêa Silva;  Alexandre César Muniz de Oliveira;  Mario Antonio Meireles Teixeira;  ";Petróleo Brasileiro - Rio de Janeiro - Matriz;Sim
26;Anselmo Cardoso de Paiva;PROFORTI - PROGRAMA DE FORTALECIMENTO INSTITUCIONAL DAS SECRETARIAS MUNICIPAIS DE EDUCAÇÃO DO SEMI-ÁRIDO/MA;2007;"2008";CONCLUIDO;EXTENSAO;"0";"0";"0";"0";"Anselmo Cardoso de Paiva;  Simara Vieira da Rocha;  Ilma Vieira Nascimento;  Antonio Joaquim Pereira Filho;  Leoneide Maria B. Martins;  ";Ministério da Educação;Sim
26;Anselmo Cardoso de Paiva;HidroGIS: Uma ferramenta baseada em software livre para o desenvolvimento de aplicações de geoprocessamento na Web para o Setor de Hidrologia;2007;"2009";CONCLUIDO;PESQUISA;"6";"";"";"";"Anselmo Cardoso de Paiva;  Cláudio de Souza Baptista;  Aristófanes Corrêa Silva;  ";Universidade Federal de Campina Grande;Não
26;Anselmo Cardoso de Paiva;Frameworks e Componentes de Software para Sistemas de Governo Eletrônico;2007;"2011";CONCLUIDO;PESQUISA;"7";"";"";"";"Anselmo Cardoso de Paiva;  Geraldo Braz Júnior;  Simara Vieira da Rocha;  ";Instituto Maranhense de Estudos Socioeconômicos e Cartográficos;Sim
26;Anselmo Cardoso de Paiva;Desenvolvimento de Objetos de Aprendizagem de Química;2006;"2007";EM_ANDAMENTO;PESQUISA;"6";"";"";"";"Anselmo Cardoso de Paiva;  Joacy Batista de Lima;  Rodrigo Silveira Alexandre;  Allan Kássio Beckman Soares da Cruz;  Heber de Padua Sousa;  Elany Dias de Oliveira;  Verônica Diniz da Silva;  Joseany Moraes de Santos Almeida;  ";Ministério da Educação;Sim
26;Anselmo Cardoso de Paiva;Imagens Médicas: Processamento, Análise e Visualização;2006;"2010";CONCLUIDO;PESQUISA;"9";"";"4";"";"Anselmo Cardoso de Paiva;  Leonardo de Oliveira Martins;  Aristófanes Corrêa Silva;  Marcelo Gattass;  Paulo Cézar Carvalho Pinto;  Rodolfo Acatauassú Nunes;  Stelmo Magalhães Barros Neto;  Geraldo Braz Júnior;  Manoel Marcondes de Oliveira Lima Junior;  Darlan Bruno Pontes Quintanilha;  ";Coordenação de Aperfeiçoamento de Pessoal de Nível Superior;Não
26;Anselmo Cardoso de Paiva;Detecção e Diagnóstico de Massas na Mama baseado em Imagens Mamográficas;2006;"2008";EM_ANDAMENTO;PESQUISA;"6";"";"3";"";"Anselmo Cardoso de Paiva;  Leonardo de Oliveira Martins;  Aristófanes Corrêa Silva;  Geraldo Braz Júnior;  Manoel Marcondes de Oliveira Lima Junior;  Darlan Bruno Pontes Quintanilha;  ";"";Não
26;Anselmo Cardoso de Paiva;Reconstrução e Modelagem em 3D de Instalações Elétricas a Partir de Imagens 2D;2006;"2007";EM_ANDAMENTO;PESQUISA;"3";"";"1";"";"Anselmo Cardoso de Paiva;  Aristófanes Corrêa Silva;  Paulo Cézar Carvalho Pinto;  Manoel Marcondes de Oliveira Lima Junior;  Thamila Fontenele de Brito Silva;  Adelailson Peixoto da Silva;  Edgar Moraes Diniz;  ";Centrais Elétricas do Norte do Brasil;Sim
26;Anselmo Cardoso de Paiva;Diagnóstico de Nódulo Pulmonar Solitário baseado em Medidas;2005;"2007";EM_ANDAMENTO;PESQUISA;"3";"0";"1";"0";"Anselmo Cardoso de Paiva;  Aristófanes Corrêa Silva;  Rodolfo Acatauassú Nunes;  Edgar Moraes Diniz;  Erick Correa Silva;  Stelmo Magalhães Barros Neto;  ";"";Não
26;Anselmo Cardoso de Paiva;Integrade;2002;"2005";CONCLUIDO;PESQUISA;"3";"0";"0";"0";"Anselmo Cardoso de Paiva;  Francisco José da Silva e Silva;  ";Instituto de Matemática e Estatística;Sim
