"id_docente";"nome";"tipo";"titulo";"ano";"financiadora";"outras_informacoes";"autores"
39;André Castelo Branco Soares;ELABORACAO_DE_PROJETO;Presidente da Comissão de Elaboração do Projeto do Mestrado Acadêmico em Ciência da Computação da UFPI;2011;"";"Finalidade: ; ";"André Castelo Branco Soares;Ivan Saraiva;Vinícius Machado;André Macedo;"
39;André Castelo Branco Soares;SOFTWARE;Módulo agente de motorista na ferramenta de simulação NCTUns;2011;Universidade Federal do Piauí;"Finalidade: Simulação de redes veiculáres; Plataforma: C++; Ambiente: Avaliação de desempenho; ";"Iallen Gábio de Sousa Santos;André Castelo Branco Soares;"
39;André Castelo Branco Soares;SOFTWARE;Módulo de Software integrador para as ferramentas de simulação TONetS e OB2S.;2010;"";"Finalidade: ; Plataforma: ; Ambiente: ; ";"Mauro Marinho Soares;André Castelo Branco Soares;"
39;André Castelo Branco Soares;SOFTWARE;Framework de Tolerância a Falhas para Ferramenta TONetS;2010;"";"Finalidade: ; Plataforma: ; Ambiente: ; ";"Paulo Henrique M. Sousa Filho;André Castelo Branco Soares;"
39;André Castelo Branco Soares;SOFTWARE;ProvaLab;2010;"";"Finalidade: Aplicação de avaliações com correção automática em cursos presenciais; Plataforma: Multiplataforma; Ambiente: ; ";"Fabrício Akio;Rodrigo Ulisses;André Castelo Branco Soares;"
39;André Castelo Branco Soares;CONGRESSO;Escola Regional de Computação Ceará - Maranhão - Piauí;2009;Sociedade Brasileira de Computação;"Local: Universidade Estadual do Piauí; Cidade: Parnaíba; Duração: 1; ";"André Castelo Branco Soares;William  Ferreira Giozza;André Castelo Branco Soares;William  Ferreira Giozza;André Castelo Branco Soares;José Carneiro Maranhão Neto;William  Ferreira Giozza;André Castelo Branco Soares;José Carneiro Maranhão Neto;William  Ferreira Giozza;André Castelo Branco Soares;Gilvan Martins Durães;William  Ferreira Giozza;Paulo Roberto Freire Cunha;André Castelo Branco Soares;Gilvan Martins Durães;William  Ferreira Giozza;Paulo Roberto Freire Cunha;André Castelo Branco Soares;José Carneiro Maranhão Neto;William  Ferreira Giozza;André Castelo Branco Soares;"
39;André Castelo Branco Soares;SOFTWARE;TONetS: Transparent Optical Network Simulator;2007;Fundação de Amparo a Pesquisa do Estado da Bahia - FAPESB;"Finalidade: Simulação de de Redes Ópticas Transparentes; Plataforma: ; Ambiente: ; ";"André Castelo Branco Soares;Gilvan Martins Durães;William  Ferreira Giozza;Paulo Roberto Freire Cunha;"
39;André Castelo Branco Soares;SOFTWARE;SimRWA - Simulador de Algoritmos para Alocação de Comprimentos de Onda e Rotas em redes Ópticas Transparentes;2003;"";"Finalidade: Simulação de algoritmos para alocação de comprimentos de onda e rotas emredes ópticas transparentes; Plataforma: Multiplataforma; Ambiente: ; ";"André Castelo Branco Soares;José Carneiro Maranhão Neto;William  Ferreira Giozza;"
50;Andre Macedo Santana;SOFTWARE;CEA - Calculadora de Doses Por Extrapolação Alométrica;2012;"";"Finalidade: Calcular doses de medicamentos por extrapolação alométrica; Plataforma: Andróid; Ambiente: Andróid; ";"Alan Sousa Santos;Marcelo Campos Rodrigues;Andre Macedo Santana;"
50;Andre Macedo Santana;SOFTWARE;AIEQ - Análise de Imagems de Experimentos Químicos;2012;"";"Finalidade: Analisar Componentes de Cor em Imagens de Experimentação de Concentração; Plataforma: Windows/Linux; Ambiente: ; ";"Diego Porto Rocha;José Machado Moita Neto;Andre Macedo Santana;"
50;Andre Macedo Santana;CURSO-DE-CURTA-DURACAO-MINISTRADO;Introdução ao Desenvolvimento de Software Embarcado para Sistemas Robóticos Usando Arduino;2011;Universidade Federal do Piauí;"Participação dos autores: DOCENTE; Local do Curso: ; Cidade: Teresina - PI; Duração: 8; ";"Andre Macedo Santana;"
50;Andre Macedo Santana;CONGRESSO;V Escola Regional de Informática: Ceará, Maranhão e Piauí (ERCEMAPI);2011;UFPI;"Local: DIE-UFPI; Cidade: Teresina, PI; Duração: 1; ";"Raimundo S. Moura;Fabio Gomes;Andre Macedo Santana;"
50;Andre Macedo Santana;ELABORACAO_DE_PROJETO;Membro Comissão de Elaboração do Projeto do Mestrado Acadêmico em Ciência da Computação da UFPI;2011;"";"Finalidade: Implantação do Mestrado em Computação; ";"André Castelo Branco Soares;Ivan Saraiva Silva;Vinicius Ponte Machado;Andre Macedo Santana;"
50;Andre Macedo Santana;SOFTWARE;FEED - Ferramenta de Apoio ao Ensino de Estruturas de Dados;2011;"";"Finalidade: Ferramenta Visual e Geradora de Códigos para o Apoio ao Ensino de Estrutura de Dados; Plataforma: Linux; Ambiente: Java; ";"Andre Macedo Santana;"
50;Andre Macedo Santana;CURSO-DE-CURTA-DURACAO-MINISTRADO;Introdução às Redes Neurais Artificiais;2008;Universidade Estadual do Piauí - UESPI;"Participação dos autores: DOCENTE; Local do Curso: Capus Universitário / Centro de Tecnologia; Cidade: Teresina / PI; Duração: 20; ";"Andre Macedo Santana;Adelardo A. D. Medeiros;Kelson Romulo Teixeira Aires;Andre Macedo Santana;Adelardo A. D. Medeiros;Andre Macedo Santana;Erico M. Leao;Luiz A. Guedes;Francisco Vasques;Andre Macedo Santana;Andre Macedo Santana;Andre Macedo Santana;Andre Macedo Santana;Andre Macedo Santana;Andre Macedo Santana;Kelson Romulo Teixeira Aires;Adelardo A. D. Medeiros;Andre Macedo Santana;Andre Macedo Santana;Andre Macedo Santana;Semiramis Jamil Hadad do Monte;Raimundo S. Moura;Andre Macedo Santana;"
50;Andre Macedo Santana;CONSULTORIA;NetTV;2004;JORNAL O DIA;"Finalidade: Estudo sobre TV via Web; ";"Andre Macedo Santana;"
50;Andre Macedo Santana;CONSULTORIA;Melhoria em Informática do Jornal O DIA;2004;JORNAL O DIA;"Finalidade: Atualização tecnológica do Jornal O DIA; ";"Andre Macedo Santana;"
50;Andre Macedo Santana;CONSULTORIA;Informatização do CRA-PI;2004;CRA/PI;"Finalidade: Automatização dos Processos de Gerência do Conselho Regional de Administração do Piauí - CRA/PI; ";"Andre Macedo Santana;"
50;Andre Macedo Santana;CURSO-DE-CURTA-DURACAO-MINISTRADO;Criação de Páginas Web Com Flash;2002;Universidade Federal do Piauí;"Participação dos autores: DOCENTE; Local do Curso: ; Cidade: TERESINA/PI; Duração: 20; ";"Andre Macedo Santana;"
50;Andre Macedo Santana;SOFTWARE;INFOIB - Sistema de Gerenciamento do Laboratório de Imonologia e Biologia Molecular;2001;CNPQ;"Finalidade: Análise das Informações do Laboratório de Imunogenética e Biologia Molecular - LIB; Plataforma: Windows; Ambiente: C++; ";"Andre Macedo Santana;Semiramis Jamil Hadad do Monte;"
50;Andre Macedo Santana;CURSO-DE-CURTA-DURACAO-MINISTRADO;Montagem e Configuração de Microcomputadores;2001;Universidade Federal do Piauí;"Participação dos autores: DOCENTE; Local do Curso: ; Cidade: TERESINA/PI; Duração: 20; ";"Andre Macedo Santana;"
50;Andre Macedo Santana;CURSO-DE-CURTA-DURACAO-MINISTRADO;Treinamento em Informática para Estudantes de Baixa Renda da UFPI;2000;Universidade Federal do Piauí;"Participação dos autores: DOCENTE; Local do Curso: ; Cidade: TERESINA/PI; Duração: 40; ";"Andre Macedo Santana;"
26;Anselmo Cardoso de Paiva;SOFTWARE;SisHCo (Sistema de análise de hábito de consumo);2020;INPI - Instituto Nacional da Propriedade Industrial;"Tipo Registro/Patente: PROGRAMA_DE_COMPUTADOR_PC; Código: BR512020002171-9; Data Depósito: 21092020; Depositante: ; Titular: ; ";""
26;Anselmo Cardoso de Paiva;CONGRESSO;Publication Chair of 27th International Conference on Systems, Signals and Image Processing;2020;"27th International Conference on Systems, Signals and Image Processing";"Local: Instituo de Computação da Universidade Federal Fluminense; Cidade: Niteroi, RJ; Duração: 1; ";"Anselmo Cardoso de Paiva;Aura Conci;Leandro Augusto F. Fernandes;Geraldo Braz Júnior;João Dallyson Sousa Almeida;Renato Natal Jorge;"
26;Anselmo Cardoso de Paiva;CONGRESSO;Coordenação Geral - Escola Regional de Computação Ceará, Maranhão, Piauí  2019;2019;Sociedade Brasileira de Computação SBC;"Local: Universidade Federal do Maranhão; Cidade: São Luís, MA; Duração: 1; ";"Anselmo Cardoso de Paiva;LUIS JORGE ENRIQUE RIVERO CABREJOS;Davi Viana;Rodrigo Augusto Rocha Souza Baluz;Danielo Gonçalves Gomes;"
26;Anselmo Cardoso de Paiva;SOFTWARE;"SILEM - SISTEMA DE LEITURA DE MEDIC&#807;A&#771;O";2018;INPI - Instituto Nacional da Propriedade Industrial;"Tipo Registro/Patente: PROGRAMA_DE_COMPUTADOR_PC; Código: BR512018001380-5; Data Depósito: 18082018; Depositante: ; Titular: ; ";""
26;Anselmo Cardoso de Paiva;SOFTWARE;Plataforma Integrada de Gerenciamento de Pesquisa (PublicaUFMA);2018;INPI - Instituto Nacional da Propriedade Industrial;"Tipo Registro/Patente: PROGRAMA_DE_COMPUTADOR_PC; Código: BR512018000355-9; Data Depósito: 03042018; Depositante: Universidade Federal do Maranhão; Titular: ; ";""
26;Anselmo Cardoso de Paiva;SOFTWARE;"SIVAL - SISTEMA DE VALIDAC&#807;A&#771;O DE LEITURA";2018;INPI - Instituto Nacional da Propriedade Industrial;"Tipo Registro/Patente: PROGRAMA_DE_COMPUTADOR_PC; Código: BR512018001381-3; Data Depósito: 14082018; Depositante: Companhia Energetica do Maranhão;Centrais Elétricas do Pará; Titular: ; ";""
26;Anselmo Cardoso de Paiva;SOFTWARE;SQUINTPLAN;2018;INPI - Instituto Nacional da Propriedade Industrial;"Tipo Registro/Patente: PROGRAMA_DE_COMPUTADOR_PC; Código: BR512018000136-0; Data Depósito: 29012018; Depositante: Universidade Federal do Maranhão; Titular: ; ";""
26;Anselmo Cardoso de Paiva;SOFTWARE;"Ferramenta para visualizac&#807;a&#771;o de dados com detecc&#807;a&#771;o automa&#769;tica de objetos em ambientes de realidade aumentada atrave&#769;s de marcadores naturais georreferenciados";2017;INPI - Instituto Nacional da Propriedade Industrial;"Tipo Registro/Patente: PROGRAMA_DE_COMPUTADOR_PC; Código: BR512018001193-4; Data Depósito: 20102017; Depositante: Instituto Federal do Maranhão;Universidade Federal do Maranhão; Titular: ; ";""
26;Anselmo Cardoso de Paiva;SOFTWARE;Ferramenta de autoria de ambientes de Realidade Virtual e visualização com panoramas esféricos;2016;INPI - Instituto Nacional da Propriedade Industrial;"Tipo Registro/Patente: PROGRAMA_DE_COMPUTADOR_PC; Código: BR512018001191-8; Data Depósito: 25082016; Depositante: Daniel Lima Gomes Junior;Instituto Federal do Maranhão;Universidade Federal do Maranhão; Titular: ; ";""
26;Anselmo Cardoso de Paiva;CONGRESSO;JORNADA DE INFORMÁTICA DO MARANHÃO;2014;Departamento de Informática - Universidade Federal do Maranhão;"Local: Universidade Federal do Maranhão; Cidade: São Luis, MA; Duração: 1; ";"Anselmo Cardoso de Paiva;"
26;Anselmo Cardoso de Paiva;OUTRO;Coordenador local - POSCOMP SBC;2013;Sociedade Brasileira de Computação;"Local: CCET - UFMA; Cidade: São Luis; Duração: 1; ";"Anselmo Cardoso de Paiva;"
26;Anselmo Cardoso de Paiva;CONGRESSO;Escola Regional de Computaçào do Ceará Maranhão e Piaui 2012 / Jornada de Informática do Maranhão 2012 /;2012;Universidade Federal do Maranhão - Departamento de Informática;"Local: Universidade Federal do Maranhão; Cidade: São Luis, MA, Brasil; Duração: 1; ";"Anselmo Cardoso de Paiva;Aristófanes Corrêa Silva;Mario Antonio Meireles Teixeira;Alexandre César Muniz de Oliveira;Simara Vieira da Rocha;Geraldo Braz Júnior;Maria Auxiliador Freire;Luciano Reis Coutinho;"
26;Anselmo Cardoso de Paiva;SOFTWARE;SAIM - Sistema de Análise de Imagens Médicas;2010;INPI - Instituto Nacional da Propriedade Industrial;"Tipo Registro/Patente: PROGRAMA_DE_COMPUTADOR_PC; Código: BR512013000166-8; Data Depósito: 13022010; Depositante: Carlos Tadeu Santos Alves;Aristófanes Corrêa Silva;Universidade Federal do Maranhão; Titular: ; ";""
26;Anselmo Cardoso de Paiva;CONGRESSO;Jornada Maranhense de Informática   2010;2010;Universidade Federal do Maranhão - Departamento de Informática;"Local: Sebrae Multicenter; Cidade: são Luis, MA, Brasil; Duração: 1; ";"Anselmo Cardoso de Paiva;Aristófanes Corrêa Silva;Maria Auxiliador Freire;Mario Antonio Meireles Teixeira;Alexandre César Muniz de Oliveira;Simara Vieira da Rocha;Geraldo Braz Junior;"
26;Anselmo Cardoso de Paiva;CONGRESSO;Jornada de Informática do Maranhão JIM 2008;2008;Universidade Federal do Maranhão;"Local: SEbrae Multicenter; Cidade: São Luis; Duração: 1; ";"Anselmo Cardoso de Paiva;Aristófanes Corrêa Silva;Maria Auxiliador Freire;Mario Antonio Meireles Teixeira;Alexandre César Muniz de Oliveira;Francisco José da Silva e Silva;"
26;Anselmo Cardoso de Paiva;CONGRESSO;Jornada de Informática do Maranhão JIM 2006;2006;Universidade Federal do Maranhão;"Local: Sebrae Multicenter; Cidade: São Luis; Duração: 1; ";"Anselmo Cardoso de Paiva;Leonardo Silva Kury Aragão Mendes;Daniel Lima Gomes Júnior;Alex Martins Santos;Anselmo Cardoso de Paiva;Aristófanes Corrêa Silva;Mario Antonio Meireles Teixeira;Alexandre César Muniz de Oliveira;Maria Auxiliador Freire;Simara Vieira da Rocha;Francisco José da Silva e Silva;"
26;Anselmo Cardoso de Paiva;SOFTWARE;DampSin;1999;PETROBRÁS;"Finalidade: Cálculo do Dano Máximo provável na simulação de acidentes em instalações de refino de petróleo; Plataforma: Windows; Ambiente: Windows - IUP - C++ - Lua; ";"Anselmo Cardoso de Paiva;Ana Elisa Schimdt;Mauro Mota;Marcelo Tilio Monteiro de Carvalho;"
26;Anselmo Cardoso de Paiva;SOFTWARE;MarLimpo;1997;PETROBRÁS;"Finalidade: - Sistema de Visualização da Simulação de Propagação de manchas de Óleo no Mar; Plataforma: Windows; Ambiente: Windows - IUP - C++; ";"Anselmo Cardoso de Paiva;"
26;Anselmo Cardoso de Paiva;CONGRESSO;I Jornada Maranhense de Informática;1993;Departamento de Informática - UFMA;"Local: PRODAMAR; Cidade: São Luis - MA; Duração: 1; ";"Anselmo Cardoso de Paiva;Raimundo Renato Patrício;Diógenes Carvalho Aquino;"
54;Antonio Oseas de Carvalho Filho;SOFTWARE;Mapa da Covid-19 Piauí: uma ferramenta WEB para monitoramento e auxílio na tomada de decisões;2023;INPI - Instituto Nacional da Propriedade Industrial;"Tipo Registro/Patente: PROGRAMA_DE_COMPUTADOR_PC; Código: BR512023001015-4; Data Depósito: 13042023; Depositante: ; Titular: ; ";""
54;Antonio Oseas de Carvalho Filho;SOFTWARE;CONTAEGGS: UMA FERRAMENTA PARA CONTAGEM DE OVOS EM PALHETAS DE OVITRAMPAS;2022;INPI - Instituto Nacional da Propriedade Industrial;"Tipo Registro/Patente: PROGRAMA_DE_COMPUTADOR_PC; Código: BR512022003075-6; Data Depósito: 01052022; Depositante: ; Titular: ; ";""
54;Antonio Oseas de Carvalho Filho;SOFTWARE;GEMA CALCULATOR;2022;INPI - Instituto Nacional da Propriedade Industrial;"Tipo Registro/Patente: PROGRAMA_DE_COMPUTADOR_PC; Código: BR512023001017-0; Data Depósito: 02012022; Depositante: ; Titular: ; ";""
54;Antonio Oseas de Carvalho Filho;SOFTWARE;AutenticaNet: Uma ferramenta para autenticação por reconhecimento facial;2022;INPI - Instituto Nacional da Propriedade Industrial;"Tipo Registro/Patente: PROGRAMA_DE_COMPUTADOR_PC; Código: BR512023001021-9; Data Depósito: 01032022; Depositante: ; Titular: ; ";""
54;Antonio Oseas de Carvalho Filho;SOFTWARE;GeMapCom: Uma ferramenta para mapeamento comparativo e visualização de dados Genômicos;2021;INPI - Instituto Nacional da Propriedade Industrial;"Tipo Registro/Patente: PROGRAMA_DE_COMPUTADOR_PC; Código: BR512021001837-0; Data Depósito: 01032021; Depositante: Universidade Federal do Piauí; Titular: ; ";""
54;Antonio Oseas de Carvalho Filho;SOFTWARE;GLCAD;2020;INPI - Instituto Nacional da Propriedade Industrial;"Tipo Registro/Patente: PROGRAMA_DE_COMPUTADOR_PC; Código: BR512021001795-1; Data Depósito: 01032020; Depositante: ; Titular: ; ";""
54;Antonio Oseas de Carvalho Filho;EXPOSICAO;Semana Nacional de Ciência e Tecnologia - Picos e Macorregião;2018;Universidade Federal do Piauí;"Local: Praça Josino Ferreria; Cidade: Picos - PI; Duração: 1; ";"Antonio Oseas de Carvalho Filho;Francisco Gleison da Costa Monteiro;Maria do Socorro Meireles de Deus;"
54;Antonio Oseas de Carvalho Filho;ASSESSORIA;Assessor de Ações de Pesquisa;2018;UFPI;"Finalidade: Traçar diretrizes para pesquisa no âmbito do Campus, obedecida a orientação geral estabelecida pela UPI;; ";"Antonio Oseas de Carvalho Filho;"
54;Antonio Oseas de Carvalho Filho;CONGRESSO;Seminário de Iniciação Científica - CSHNB;2018;Universidade Federal do Piauí - Campus Senador Helvídio Nunes de Barros;"Local: Universidade Federal do Piauí; Cidade: Picos; Duração: 1; ";"Antonio Oseas de Carvalho Filho;Francisco Gleison da Costa Monteiro;"
54;Antonio Oseas de Carvalho Filho;CONGRESSO;VIII SINFO (Simpósio de Sistemas de Informação);2016;Universidade Federal do Piauí;"Local: Universidade Federal do Piauí; Cidade: Picos; Duração: 1; ";"Laércio Nascimento Mesquita;Antonio Oseas de Carvalho Filho;Alcilene Dalilia de Sousa;Patricia Medyna Lauritzen De Lucena Drumond;Antonio Oseas de Carvalho Filho;Alcilene Dalilia de Sousa;Patricia Medyna Lauritzen De Lucena Drumond;Patrícia Vieira da Silva Barros;"
29;Areolino de Almeida Neto;SOFTWARE;VLMOBC - Computador de Bordo do VLM;2019;INPI - Instituto Nacional da Propriedade Industrial;"Tipo Registro/Patente: PROGRAMA_DE_COMPUTADOR_PC; Código: BR512019002034-0; Data Depósito: 25072019; Depositante: Universidade Estadual do Maranhão;Instituto de Aeronáutica e Espaço; Titular: ; ";""
29;Areolino de Almeida Neto;SOFTWARE;VLMSIM - Simulação de Voo do VLM;2019;INPI - Instituto Nacional da Propriedade Industrial;"Tipo Registro/Patente: PROGRAMA_DE_COMPUTADOR_PC; Código: BR512019002006-5; Data Depósito: 15072019; Depositante: Instituto de Aeronáutica e Espaço;Universidade Estadual do Maranhão; Titular: ; ";""
29;Areolino de Almeida Neto;SOFTWARE;URLANN - Unguided Rocket Launcher Adjustment via Neural Networks;2018;INPI - Instituto Nacional da Propriedade Industrial;"Tipo Registro/Patente: PROGRAMA_DE_COMPUTADOR_PC; Código: BR512019001229-1; Data Depósito: 30112018; Depositante: Universidade Federal do Maranhão ;Universidade Estadual do Maranhão;Instituto de Aeronáutica e Espaço; Titular: ; ";""
29;Areolino de Almeida Neto;SOFTWARE;SISCIIVE - Sistema de Captura das Imagens Internas de Veículos Espaciais;2018;INPI - Instituto Nacional da Propriedade Industrial;"Tipo Registro/Patente: PROGRAMA_DE_COMPUTADOR_PC; Código: BR512019001878-8; Data Depósito: 30102018; Depositante: Universidade Estadual do Maranhão;Instituto de Aeronáutica e Espaço; Titular: ; ";""
29;Areolino de Almeida Neto;SOFTWARE;SISCVIAVE - Sistema de Captura das Variáveis Inerciais e Altitude de Veículos Espaciais;2018;INPI - Instituto Nacional da Propriedade Industrial;"Tipo Registro/Patente: PROGRAMA_DE_COMPUTADOR_PC; Código: BR512019001879-6; Data Depósito: 30102018; Depositante: Universidade Estadual do Maranhão;Instituto de Aeronáutica e Espaço; Titular: ; ";""
29;Areolino de Almeida Neto;SOFTWARE;UROCKS - Unguided Rocket Simulator;2018;INPI - Instituto Nacional da Propriedade Industrial;"Tipo Registro/Patente: PROGRAMA_DE_COMPUTADOR_PC; Código: BR512019000990-8; Data Depósito: 30102018; Depositante: Universidade Estadual do Maranhão;Universidade Federal do Maranhão ;Instituto de Aeronáutica e Espaço; Titular: ; ";""
29;Areolino de Almeida Neto;PATENTE;Controlador de Semáforo de Trânsito via Internet;2017;INPI - Instituto Nacional da Propriedade Industrial;"Tipo Registro/Patente: MODELO_DE_UTILIDADE_MU; Código: BR2020170188030; Data Depósito: 01092017; Depositante: Areolino de Almeida Neto; Titular: ; ";
29;Areolino de Almeida Neto;SOFTWARE;Sistema de Detecção e Comunicação de Quedas de Idosos Usando RNA e Smartphone;2014;FAPEMA;"Finalidade: Detectar e comunicar a serviços de emergência quando um idoso sofre uma queda; Plataforma: Java; Ambiente: Aplicativos|Comunicação de dados; ";"Areolino de Almeida Neto;"
29;Areolino de Almeida Neto;SOFTWARE;Controlador de Semáforo via Internet;2014;FAPEMA;"Finalidade: Fazer a programação remota de semáforos via internet; Plataforma: C; Ambiente: Automação|Comunicação de dados; ";""
29;Areolino de Almeida Neto;SOFTWARE;Programação Semafórica;2013;CAPES;"Finalidade: Realizar a programação de tempos de semáforos; Plataforma: C, Assembler, Java; Ambiente: ; ";"Areolino de Almeida Neto;DE OLIVEIRA, MICHEL B. W.;"
29;Areolino de Almeida Neto;EXPOSICAO;Dia do Empreendedorismo e da Inovação;2013;UFMA;"Local: Campus do Bacanga; Cidade: São Luís; Duração: 1; ";"Areolino de Almeida Neto;"
29;Areolino de Almeida Neto;SOFTWARE;PRONTUNET - Prontuário Eletrônico via Internet;2011;TQNK Tecnologia Aplicada LTDA;"Finalidade: Registro de dados médicos de pacientes; Plataforma: PHP, JAVA, HTML; Ambiente: Aplicativos; ";"Areolino de Almeida Neto;Adalberto José Araújo Tavares Jr.;Marcos Tadeu Rezende de Araújo;"
29;Areolino de Almeida Neto;CONGRESSO;Workshop em Engenharia Aeroespacial;2010;FAPEMA;"Local: Grand São Luís Hotel; Cidade: São Luís-MA; Duração: 1; ";"Areolino de Almeida Neto;"
29;Areolino de Almeida Neto;PATENTE;Sistema de Identificação e Localização de ônibus Urbano;2010;"";"Tipo Registro/Patente: MODELO_DE_UTILIDADE_MU; Código: 000108; Data Depósito: 13102010; Depositante: ; Titular: ; ";
29;Areolino de Almeida Neto;CONGRESSO;Seminário de Internacionalização da Educação Superior;2009;UFMA;"Local: Pestana Hotel; Cidade: São Luís-MA; Duração: 1; ";"Areolino de Almeida Neto;"
29;Areolino de Almeida Neto;SOFTWARE;Controlador Neural de Temperatura da Usina de Pelotização da Vale/São Luís;2009;Vale;"Finalidade: Melhorar controle de temperatura; Plataforma: Windows; Ambiente: ; ";"Areolino de Almeida Neto;Alexandre César Muniz de Oliveira;Paulo Rogério de Almeida Ribeiro;"
29;Areolino de Almeida Neto;SOFTWARE;Prontunet - Prontuário Médico via Internet;2008;TQNK Tecnologia Aplicada LTDA;"Finalidade: Banco de dados médicos de pacientes; Plataforma: Linux; Ambiente: ; ";"Areolino de Almeida Neto;Adalberto José Araújo Tavares Jr.;Marcos Tadeu Rezende de Araújo;"
29;Areolino de Almeida Neto;CURSO-DE-CURTA-DURACAO-MINISTRADO;Robótica Básica;2006;UFMA;"Participação dos autores: DOCENTE; Local do Curso: São Luís; Cidade: São Luís; Duração: 4; ";"Areolino de Almeida Neto;"
29;Areolino de Almeida Neto;SOFTWARE;Simulador de Desvio de Objetos Dinâmicos;2003;UFMA e CAPES;"Finalidade: Simular desvios de objetos em ambiente dinâmico por um robô móvel; Plataforma: MatLab; Ambiente: Windows 2000; ";"Areolino de Almeida Neto;"
29;Areolino de Almeida Neto;SOFTWARE;Simulador de Controle Neural de Haste Flexível;2001;UFMA;"Finalidade: Simulação de controle neural via Feedback-Error-Learning; Plataforma: MatLab; Ambiente: Windows; ";"Areolino de Almeida Neto;"
